IFPID,Question,Description,Rolling Bins,# of Bins,Values Type,Range Low,Range High,Units,State,Start Date,Suspend Date,Closed As Of Date,Outcome
"1410","What percentage of those voting in the Scottish independence referendum will vote for independence?","Voting is scheduled for 18 September 2014. *For the referendum to pass, more than 50% of votes cast must be in favor of Scottish independence. Outcome will be determined when results of the vote are definitively reported in open source media (e.g., Reuters, BBC, AP). If the voting is delayed indefinitely or cancelled, or in other cases of substantial controversy or uncertainty, Administrator reserves the right to consult outside experts about how to proceed and/or void the question.","false",4,number,"20","50","% of votes",closed,"2014-08-20 06:00:00","2014-09-17 06:00:00","2014-08-20 06:00:00","44.7"
"1411","When will North Korea next test a long-range missile?","*A long-range missile will be considered, in this case, one that has the reported ability to reach the continental United States, Alaska, or Hawaii. The test of rocket engines with the capacity to hit the continental United States, Alaska, or Hawaii would also count for a ""yes"" resolution. A past example of a test that would count is North Korea's space launch on December 12, 2012 (http://www.nytimes.com/2012/12/24/world/asia/north-korean-rocket-had-military-purpose-seoul-says.html?_r=0). The success of the test, and the actual distance traveled, are irrelevant. South Korea is weighing options for its missile defense needs (http://koreajoongangdaily.joins.com/news/article/Article.aspx?aid=2992350; http://www.bloomberg.com/news/2014-06-04/south-korea-eyes-thaad-patriot-3-missile-systems-u-s-says.html). For the purposes of this question, the following situations will count as the condition being realized: a) South Korea agrees to allow U.S. Forces in Korea to deploy and control the THAAD system, b) South Korea agrees to receive a loan of the THAAD system, or c) South Korea agrees to purchase the THAAD system. Actual deployment of the THAAD system is not required. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",4,date,"2014-08-20","2015-12-31","",active,"2014-08-20 06:00:00","2015-07-01 06:00:00",,
"1411","When will North Korea next test a long-range missile?","*A long-range missile will be considered, in this case, one that has the reported ability to reach the continental United States, Alaska, or Hawaii. The test of rocket engines with the capacity to hit the continental United States, Alaska, or Hawaii would also count for a ""yes"" resolution. A past example of a test that would count is North Korea's space launch on December 12, 2012 (http://www.nytimes.com/2012/12/24/world/asia/north-korean-rocket-had-military-purpose-seoul-says.html?_r=0). The success of the test, and the actual distance traveled, are irrelevant. South Korea is weighing options for its missile defense needs (http://koreajoongangdaily.joins.com/news/article/Article.aspx?aid=2992350; http://www.bloomberg.com/news/2014-06-04/south-korea-eyes-thaad-patriot-3-missile-systems-u-s-says.html). For the purposes of this question, the following situations will count as the condition being realized: a) South Korea agrees to allow U.S. Forces in Korea to deploy and control the THAAD system, b) South Korea agrees to receive a loan of the THAAD system, or c) South Korea agrees to purchase the THAAD system. Actual deployment of the THAAD system is not required. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",4,date,"2014-08-20","2015-12-31","",active,"2014-08-20 06:00:00","2015-07-01 06:00:00",,
"1412","Where will the TOPIX Index close on 31 October 2014?","TOPIX is the Tokyo Stock Price Index, a weighted index of all companies listed on the first section of the Tokyo Stock Exchange. Outcome will be determined by the end-of-day closing values reported by Bloomberg during the question's open period, at http://www.bloomberg.com/quote/TPX:IND/chart. In case of delayed reporting or problems with the Bloomberg website, reporting by other credible open sources may be used (e.g., Reuters, BBC, AP).","false",4,number,"1200","1400","points",closed,"2014-08-20 06:00:00","2014-10-31 07:00:00","2014-08-20 06:00:00","1333.64"
"1413","When will the Kurdistan Regional Government *hold a referendum on national independence?","Amidst a backdrop of violence in Iraq, Kurdish leader Masud Barzani has discussed plans for holding an independence referendum in the region (http://www.vox.com/2014/8/12/5991425/kurds-iraq-kurdistan-peshmerga, http://www.rferl.org/content/iraq-kurds-independence-talk-power-play/25459559.html). *The question will resolve as ""yes"" when credible open source media report that voting in a referendum has begun. A referendum held in the city of Kirkuk, outside the Kurdish region, would not count for the purposes of this question. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",4,date,"2014-08-20","2015-12-31","",active,"2014-08-20 06:00:00","2015-12-31 06:00:00",,
"1414","How many square kilometers will be covered in Arctic sea ice on 15 September 2014?","*The sea ice extent is the total surface area of the Arctic under ice cover; a lower sea ice extent makes shipping and fishing in the region more feasible. In recent years, mid-September has marked the point at which Arctic sea ice extent has decreased to its lowest point, after which the freeze begins again. On 15 September 2013, the Arctic sea ice extent was 4,834,931 square kilometers (km2). Outcome will be determined on 15 September 2014 by the Japan Aerospace Exploration Agency's Arctic Sea Ice Monitor, at http://www.ijis.iarc.uaf.edu/en/home/seaice_extent.htm. For historical trends, click ""data download"" and save as a csv file.","false",4,number,"4593000","5560000","square kilometers",closed,"2014-08-20 06:00:00","2015-06-30 06:00:00","2014-08-20 06:00:00","4888765.0"
"1415","When will there be a **lethal confrontation involving Russian **national military forces in Ukraine?","**Lethal confrontation, in this case, refers to a direct clash involving Russian **national military forces that results in at least three (3) fatalities from among the actors involved (e.g., Russian forces, Ukrainian national military forces, insurgent fighters). Civilian fatalities will not count for the purposes of this question. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",4,date,"2014-08-20","2015-12-31","",closed,"2014-08-20 06:00:00","2014-08-29 06:00:00","2014-08-20 06:00:00","2014-08-25 06:00:00"
"1416","When will North Korea next detonate a nuclear device?","Past examples of North Korean nuclear detonations include those listed here: http://www.bbc.com/news/world-asia-17823706. There has been speculation that North Korea may be planning a nuclear detonation (http://38north.org/2014/08/punggye081114/). A detonation either for testing or military purposes would count; however, computer simulations, controlled chain reactions within nuclear reactors, or detonation of radiological devices (e.g., ""dirty bombs"") will not count. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",5,date,"2014-08-27","2014-12-31","",closed,"2014-08-27 13:00:00","2015-07-01 06:00:00","2014-08-27 13:00:00","2100-12-31 06:00:00"
"1417","When will Kim Jong Un next meet a *head of state from one of the G7 countries, South Korea, China, or Russia?","*Heads of state from the G7 countries, South Korea, China, or Russia refer to the following people or their successors: Prime Minister Stephen Harper (Canada), President Francois Hollande (France), Chancellor Angela Merkel (Germany), Prime Minister Mateo Renzi (Italy), Prime Minister Shinzo Abe (Japan), Prime Minister David Cameron (United Kingdom), President Barack Obama (United States), President Park Gyun-Hye (South Korea), President Xi Jinping (China), or President Vladimir Putin (Russia). Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP).","false",5,date,"2014-08-27","2015-12-31","1",active,"2014-08-27 13:00:00","2015-06-01 06:00:00",,
"1418","When will Afghanistan next sign a Bilateral Security Agreement with the United States?","A draft Bilateral Security Agreement between Afghanistan and the United States was reached in November 2013, and both Afghan presidential candidates have indicated a willingness to sign it (http://www.defensenews.com/article/20140708/DEFREG01/307080027/NATO-Chief-Warns-Afghanistan-Must-Sign-Security-Pact-by-Early-September, http://www.voanews.com/content/us-ambassador-deadlines-loom-in-afghanistan/2417392.html). For the purposes of this question, ratification is not required. Outcome will be determined by credible open source media reporting (e.g., Reuters, BBC, AP) or **official announcements.","false",5,date,"2014-08-27","2015-06-11","",closed,"2014-08-27 13:00:00","2015-06-11 06:00:00","2014-08-27 13:00:00","2014-09-29 06:00:00"
